481,MAKINEN,SAINT LOUIS,MN,55763
482,MANKATO,BLUE EARTH,MN,56001
483,MANKATO,BLUE EARTH,MN,56002
484,MANKATO,BLUE EARTH,MN,56006
485,MANKATO,NICOLLET,MN,56003
486,MANTORVILLE,DODGE,MN,55955
487,MAPLE LAKE,WRIGHT,MN,55358
488,MAPLE PLAIN,HENNEPIN,MN,55348
489,MAPLE PLAIN,HENNEPIN,MN,55359
490,MAPLETON,BLUE EARTH,MN,56065
491,MARBLE,ITASCA,MN,55764
492,MARCELL,ITASCA,MN,56657
493,MARIETTA,LAC QUI PARLE,MN,56257
494,MARINE ON SAINT CROIX,WASHINGTON,MN,55047
495,MARSHALL,LYON,MN,56258
496,MAX,ITASCA,MN,56659
497,MAYER,CARVER,MN,55360
498,MAYNARD,CHIPPEWA,MN,56260
499,MAZEPPA,WABASHA,MN,55956
500,MC GRATH,AITKIN,MN,56350
501,MCGREGOR,AITKIN,MN,55760
502,MCINTOSH,POLK,MN,56556
503,MEADOWLANDS,SAINT LOUIS,MN,55765
504,MEDFORD,STEELE,MN,55049
505,MELROSE,STEARNS,MN,56352
506,MENAHGA,WADENA,MN,56464
507,MENDOTA,DAKOTA,MN,55150
508,MENTOR,POLK,MN,56736
509,MERRIFIELD,CROW WING,MN,56465
510,MIDDLE RIVER,MARSHALL,MN,56737
511,MILACA,MILLE LACS,MN,56353
512,MILAN,CHIPPEWA,MN,56262
513,MILLVILLE,WABASHA,MN,55957
514,MILROY,REDWOOD,MN,56263
515,MILTONA,DOUGLAS,MN,56354
516,MINNEAPOLIS,ANOKA,MN,55421
517,MINNEAPOLIS,ANOKA,MN,55432
518,MINNEAPOLIS,ANOKA,MN,55433
519,MINNEAPOLIS,ANOKA,MN,55434
520,MINNEAPOLIS,ANOKA,MN,55448
521,MINNEAPOLIS,ANOKA,MN,55449
522,MINNEAPOLIS,HENNEPIN,MN,55401
523,MINNEAPOLIS,HENNEPIN,MN,55402
524,MINNEAPOLIS,HENNEPIN,MN,55403
525,MINNEAPOLIS,HENNEPIN,MN,55404
526,MINNEAPOLIS,HENNEPIN,MN,55405
527,MINNEAPOLIS,HENNEPIN,MN,55406
528,MINNEAPOLIS,HENNEPIN,MN,55407
529,MINNEAPOLIS,HENNEPIN,MN,55408
530,MINNEAPOLIS,HENNEPIN,MN,55409
531,MINNEAPOLIS,HENNEPIN,MN,55410
532,MINNEAPOLIS,HENNEPIN,MN,55411
533,MINNEAPOLIS,HENNEPIN,MN,55412
534,MINNEAPOLIS,HENNEPIN,MN,55413
535,MINNEAPOLIS,HENNEPIN,MN,55414
536,MINNEAPOLIS,HENNEPIN,MN,55415
537,MINNEAPOLIS,HENNEPIN,MN,55416
538,MINNEAPOLIS,HENNEPIN,MN,55417
539,MINNEAPOLIS,HENNEPIN,MN,55418
540,MINNEAPOLIS,HENNEPIN,MN,55419
541,MINNEAPOLIS,HENNEPIN,MN,55420
542,MINNEAPOLIS,HENNEPIN,MN,55422
543,MINNEAPOLIS,HENNEPIN,MN,55423
544,MINNEAPOLIS,HENNEPIN,MN,55424
545,MINNEAPOLIS,HENNEPIN,MN,55425
546,MINNEAPOLIS,HENNEPIN,MN,55426
547,MINNEAPOLIS,HENNEPIN,MN,55427
548,MINNEAPOLIS,HENNEPIN,MN,55428
549,MINNEAPOLIS,HENNEPIN,MN,55429
550,MINNEAPOLIS,HENNEPIN,MN,55430
551,MINNEAPOLIS,HENNEPIN,MN,55431
552,MINNEAPOLIS,HENNEPIN,MN,55435
553,MINNEAPOLIS,HENNEPIN,MN,55436
554,MINNEAPOLIS,HENNEPIN,MN,55437
555,MINNEAPOLIS,HENNEPIN,MN,55438
556,MINNEAPOLIS,HENNEPIN,MN,55439
557,MINNEAPOLIS,HENNEPIN,MN,55440
558,MINNEAPOLIS,HENNEPIN,MN,55441
559,MINNEAPOLIS,HENNEPIN,MN,55442
560,MINNEAPOLIS,HENNEPIN,MN,55443
561,MINNEAPOLIS,HENNEPIN,MN,55444
562,MINNEAPOLIS,HENNEPIN,MN,55445
563,MINNEAPOLIS,HENNEPIN,MN,55446
564,MINNEAPOLIS,HENNEPIN,MN,55447
565,MINNEAPOLIS,HENNEPIN,MN,55450
566,MINNEAPOLIS,HENNEPIN,MN,55454
567,MINNEAPOLIS,HENNEPIN,MN,55455
568,MINNEAPOLIS,HENNEPIN,MN,55458
569,MINNEAPOLIS,HENNEPIN,MN,55459
570,MINNEAPOLIS,HENNEPIN,MN,55467
571,MINNEAPOLIS,HENNEPIN,MN,55472
572,MINNEAPOLIS,HENNEPIN,MN,55474
573,MINNEAPOLIS,HENNEPIN,MN,55479
574,MINNEAPOLIS,HENNEPIN,MN,55480
575,MINNEAPOLIS,HENNEPIN,MN,55487
576,MINNEAPOLIS,HENNEPIN,MN,55488
577,MINNEOTA,LYON,MN,56264
578,MINNESOTA CITY,WINONA,MN,55959
579,MINNESOTA LAKE,FARIBAULT,MN,56068
580,MINNETONKA,HENNEPIN,MN,55345
581,MINNETONKA BEACH,HENNEPIN,MN,55361
582,MIZPAH,KOOCHICHING,MN,56660
583,MONTEVIDEO,CHIPPEWA,MN,56265
584,MONTGOMERY,LE SUEUR,MN,56069
585,MONTICELLO,WRIGHT,MN,55362
586,MONTICELLO,WRIGHT,MN,55590
587,MONTROSE,WRIGHT,MN,55363
588,MOORHEAD,CLAY,MN,56560
589,MOORHEAD,CLAY,MN,56561
590,MOORHEAD,CLAY,MN,56562
591,MOORHEAD,CLAY,MN,56563
592,MOOSE LAKE,CARLTON,MN,55767
593,MORA,KANABEC,MN,55051
594,MORGAN,REDWOOD,MN,56266
595,MORRIS,STEVENS,MN,56267
596,MORRISTOWN,RICE,MN,55052
597,MORTON,RENVILLE,MN,56270
598,MOTLEY,MORRISON,MN,56466
599,MOUND,HENNEPIN,MN,55364
600,MOUNTAIN IRON,SAINT LOUIS,MN,55768
601,MOUNTAIN LAKE,COTTONWOOD,MN,56159
602,MURDOCK,SWIFT,MN,56271
603,NASHUA,WILKIN,MN,56565
604,NASHWAUK,ITASCA,MN,55769
605,NAVARRE,HENNEPIN,MN,55392
606,NAYTAHWAUSH,MAHNOMEN,MN,56566
607,NELSON,DOUGLAS,MN,56355
608,NERSTRAND,RICE,MN,55053
609,NETT LAKE,SAINT LOUIS,MN,55772
610,NEVIS,HUBBARD,MN,56467
611,NEW AUBURN,SIBLEY,MN,55366
612,NEW GERMANY,CARVER,MN,55367
613,NEW LONDON,KANDIYOHI,MN,56273
614,NEW MUNICH,STEARNS,MN,56356
615,NEW PRAGUE,SCOTT,MN,56071
616,NEW RICHLAND,WASECA,MN,56072
617,NEW ULM,BROWN,MN,56073
